date	open	high	low	close	volume						
1639468200	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4603533927127232,		1.4603533927127232,		0,
1639468800	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4603533927127232,		1.470964198885954,		1.1828870751651923,
1639469400	1.157494764	1.157494764	1.157494764	1.157494764	0		1.470964198885954,		1.470964198885954,		0,
1639470000	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		735.0684975246043,
1639468200	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639468800	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639469400	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639470000	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639470600	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639471200	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639471800	1.157494764	1.157494764	1.157494764	1.157494764	908.6402803		1.4918469056320478,		1.4918469056320478,		0,
1639472400	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639473000	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639473600	1.157494764	1.157494764	1.157494764	1.157494764	0		1.4918469056320478,		1.4918469056320478,		0,
1639474200	1.157494764	1.198803016	1.157494764	1.198803016	0		1.4918469056320478,		1.4918469056320478,		0,
1639474800	1.198803016	1.198803016	1.198803016	1.198803016	0		1.4918469056320478,		1.4918469056320478,		0,
1639475400	1.198803016	1.198803016	1.198803016	1.198803016	0		1.4918469056320478,		1.4918469056320478,		0,
1639476000	1.198803016	1.198803016	1.198803016	1.198803016	0		1.4918469056320478,		1.4918469056320478,		0,
1639476600	1.198803016	1.198803016	1.198803016	1.198803016	0		1.4918469056320478,		1.4918469056320478,		0,
1639477200	1.198803016	1.198803016	1.198803016	1.198803016	0		1.4918469056320478,		1.4918469056320478,		0,
