Date	Open	High	Low	Close	Volume						
	0		1.4603533927127232		1.4603533927127232		1.4603533927127232		1.4603533927127232		0
	1.1828870751651923		1.4603533927127232		1.470964198885954		1.4603533927127232		1.470964198885954		1.1828870751651923
	0		1.470964198885954		1.470964198885954		1.470964198885954		1.470964198885954		0
	735.0684975246043		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		735.0684975246043
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	0		1.4918469056320478		1.4918469056320478		1.4918469056320478		1.4918469056320478		0
	510.150448305872		1.4918469056320478		1.4918469056320478		1.4743329435382129		1.4743329435382129		510.150448305872
	53.81982253261878		1.4743329435382129		1.4743329435382129		1.4709074703713476		1.4709074703713476		53.81982253261878
	0		1.4709074703713476		1.4709074703713476		1.4709074703713476		1.4709074703713476		0
	0		1.4709074703713476		1.4709074703713476		1.4709074703713476		1.4709074703713476		0
	0		1.4709074703713476		1.4709074703713476		1.4709074703713476		1.4709074703713476		0
	0		1.4709074703713476		1.4709074703713476		1.4709074703713476		1.4709074703713476		0
	0		1.4709074703713476		1.4709074703713476		1.4709074703713476		1.4709074703713476		0
	1013.3122631034853		1.4709074703713476		1.5004594368007649		1.4709074703713476		1.5004594368007649		1013.3122631034853
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
	0		1.5004594368007649		1.5004594368007649		1.5004594368007649		1.5004594368007649		0
0	1.500459437	1.500459437	1.500459437	1.500459437	0						
]		1.1760626172658983	]	]		1.1760626172658983	]				
	0		1.1760626172658983		1.1760626172658983		1.1760626172658983		1.1760626172658983		0
